WKT,Join_Count,TARGET_FID,OPEN_LAND,RESIDENTIA,COMMERCIAL,COMMERC_01,INDUSTRIAL
"MULTIPOLYGON (((271257.6981 2100367.9772,271057.6981 2100367.9772,270957.6981 2100541.1823,271057.6981 2100714.3874,271257.6981 2100714.3874,271357.6981 2100541.1823,271257.6981 2100367.9772)))","3","919",121300.00000000000,236266.66666700001,284333.33333300002,332266.66666699998,236266.66666700001
"MULTIPOLYGON (((270657.6981 2100367.9772,270457.6981 2100367.9772,270357.6981 2100541.1823,270457.6981 2100714.3874,270657.6981 2100714.3874,270757.6981 2100541.1823,270657.6981 2100367.9772)))","1","920",115300.00000000000,255100.00000000000,319000.00000000000,376100.00000000000,255100.00000000000
"MULTIPOLYGON (((271257.6981 2100021.5671,271057.6981 2100021.5671,270957.6981 2100194.7721,271057.6981 2100367.9772,271257.6981 2100367.9772,271357.6981 2100194.7721,271257.6981 2100021.5671)))","7","921",105228.57142900000,219185.71428600000,280642.85714300000,332328.57142900000,221842.85714300000
"MULTIPOLYGON (((270657.6981 2100021.5671,270457.6981 2100021.5671,270357.6981 2100194.7721,270457.6981 2100367.9772,270657.6981 2100367.9772,270757.6981 2100194.7721,270657.6981 2100021.5671)))","3","922",130566.66666700000,255166.66666700001,343766.66666699998,386700.00000000000,255166.66666700001
"MULTIPOLYGON (((270957.6981 2099848.362,270757.6981 2099848.362,270657.6981 2100021.5671,270757.6981 2100194.7721,270957.6981 2100194.7721,271057.6981 2100021.5671,270957.6981 2099848.362)))","7","923",103842.85714300000,193214.28571400000,269371.42857100000,307242.85714300000,227128.57142900000
"MULTIPOLYGON (((271857.6981 2100367.9772,271657.6981 2100367.9772,271557.6981 2100541.1823,271657.6981 2100714.3874,271857.6981 2100714.3874,271957.6981 2100541.1823,271857.6981 2100367.9772)))","4","924",93950.00000000000,200525.00000000000,260275.00000000000,308225.00000000000,205175.00000000000
"MULTIPOLYGON (((271857.6981 2100021.5671,271657.6981 2100021.5671,271557.6981 2100194.7721,271657.6981 2100367.9772,271857.6981 2100367.9772,271957.6981 2100194.7721,271857.6981 2100021.5671)))","4","925",110400.00000000000,237350.00000000000,306325.00000000000,363475.00000000000,242000.00000000000
"MULTIPOLYGON (((271557.6981 2099848.362,271357.6981 2099848.362,271257.6981 2100021.5671,271357.6981 2100194.7721,271557.6981 2100194.7721,271657.6981 2100021.5671,271557.6981 2099848.362)))","3","926",121033.33333300000,268300.00000000000,350733.33333300002,412766.66666699998,274500.00000000000
"MULTIPOLYGON (((272457.6981 2100367.9772,272257.6981 2100367.9772,272157.6981 2100541.1823,272257.6981 2100714.3874,272457.6981 2100714.3874,272557.6981 2100541.1823,272457.6981 2100367.9772)))","2","927",41300.00000000000,110300.00000000000,156850.00000000000,171000.00000000000,110300.00000000000
"MULTIPOLYGON (((272157.6981 2100194.7721,271957.6981 2100194.7721,271857.6981 2100367.9772,271957.6981 2100541.1823,272157.6981 2100541.1823,272257.6981 2100367.9772,272157.6981 2100194.7721)))","2","928",63500.00000000000,131950.00000000000,170800.00000000000,199850.00000000000,131950.00000000000
